BookLabel,BookNr,Chapter
Ephesians,49, 4
Ephesians,49, 5
Ephesians,49, 6
Philippians,50, 1
Philippians,50, 2
Philippians,50, 3
Philippians,50, 4
Colossians,51, 1
Colossians,51, 2
Colossians,51, 3
Colossians,51, 4
1 Thessalonians,52, 1
1 Thessalonians,52, 2
1 Thessalonians,52, 3
1 Thessalonians,52, 4
1 Thessalonians,52, 5
2 Thessalonians,53, 1
2 Thessalonians,53, 2
2 Thessalonians,53, 3
1 Timothy,54, 1
1 Timothy,54, 2
1 Timothy,54, 3
1 Timothy,54, 4
1 Timothy,54, 5
1 Timothy,54, 6
2 Timothy,55, 1
2 Timothy,55, 2
2 Timothy,55, 3
2 Timothy,55, 4
Titus,56, 1
Titus,56, 2
Titus,56, 3
Philemon,57, 1
Hebrews,58, 1
Hebrews,58, 2
Hebrews,58, 3
Hebrews,58, 4
Hebrews,58, 5
Hebrews,58, 6
Hebrews,58, 7
Hebrews,58, 8
Hebrews,58, 9
Hebrews,58, 10
Hebrews,58, 11
Hebrews,58, 12
Hebrews,58, 13
James,59, 1
James,59, 2
James,59, 3
James,59, 4
James,59, 5
1 Peter,60, 1
1 Peter,60, 2
1 Peter,60, 3
1 Peter,60, 4
1 Peter,60, 5
2 Peter,61, 1
2 Peter,61, 2
2 Peter,61, 3
1 John,62, 1
1 John,62, 2
1 John,62, 3
1 John,62, 4
1 John,62, 5
2 John,63, 1
3 John,64, 1
Jude,65, 1
Revelation,66, 1
Revelation,66, 2
Revelation,66, 3
Revelation,66, 4
Revelation,66, 5
Revelation,66, 6
Revelation,66, 7
Revelation,66, 8
Revelation,66, 9
Revelation,66, 10
Revelation,66, 11
Revelation,66, 12
Revelation,66, 13
Revelation,66, 14
Revelation,66, 15
Revelation,66, 16
Revelation,66, 17
Revelation,66, 18
Revelation,66, 19
Revelation,66, 20
Revelation,66, 21
Revelation,66, 22
